Server,respSize(bytes),numClients,concurrent,reqSize(bytes),execTime(ms),throughtput(req/s),avgTime(ms),maxTime(ms),minTime(ms),,,,,,
,Response changes,,,,,,,,,,,,,,
"Selector(5,20,5)",1000,20,1,10000,10,251.5628,30.98,46.6,15.2,,,,avgTime(ms),,
,10000,,,,,228.3255,46.86,66.6,24.2,,,respSize(bytes),"Selector(5,20,5)","Threadpool(5,20)",
,100000,,,,,158.3823,65.88,95.6,30.4,,,1000,30.98,49.69,
,500000,,,,,185.301,49.62,69,26.6,,,10000,46.86,52.71,
,1000000,,,,,164.412,63.44,86.4,30.6,,,100000,65.88,33.26,
,,,,,,,,,,,,500000,49.62,38.47,
,1000,200,1,10000,10,1366.7438,23.296,40.4,10.6,,,1000000,63.44,48.45,
,10000,,,,,1163.2294,24.978,43.8,10.6,,,,,,
,100000,,,,,1161.6507,24.003,44.8,10,,,reqSize(bytes),"Selector(5,20,5)","Threadpool(5,20)",
,500000,,,,,665.397,41.707,90.8,12,,,1000,43.32,60.3875,
,1000000,,,,,398.9025,117.363,298.8,14.4,,,10000,58.32,46.81,
,,,,,,,,,,,,100000,65.67,55.63,
,,,,,,,,,,,,500000,63.83,50.29,
,Clients changes,,,,,,,,,,,1000000,88.11,55.67,
,10000,20,1,10000,10,170,54.0625,116.5,28,,,,,,
,,40,,,,261,63.73,83.8,10.2,,,,,,
,,100,,,,1166,21.43,41.6,10.8,,,,,,
,,200,,,,1169,20.3,40.33,10,,,,,,
,,500,,,,1604,76.24,154,13.6,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Request changes,,,,,,,,,,,,,,
,10000,200,1,1000,10,1326.4668,27.157,45,11.4,,,,,,
,,,,10000,,1414.3308,25.749,43.4,11,,,,,,
,,,,100000,,1305.9956,20.689,41.5,10,,,,,,
,,,,500000,,736.7573,22.726,68.33,11,,,,,,
,,,,1000000,,442.351,31.025,94.5,12,,,,,,
,,,,,,,,,,,,,,,
,10000,20,1,1000,10,227.0969,43.32,73.8,22,,,,,,
,,,,10000,,230.3868,58.32,93.4,23.8,,,,,,
,,,,100000,,170.5896,65.67,115,22.2,,,,,,
,,,,500000,,160.1289,63.83,98.6,34.2,,,,,,
,,,,1000000,,115.0641,88.11,126.8,39,,,,,,
,,,,,,,,,,,,,,,
,Concurrent changes,,,,,,,,,,,,,,
,10000,20,1,10000,10,229.356,52.59,80,24,,,,,,
,,,10,,,697.1437,19.61375,120.25,10,,,,,,
,,,20,,,1085.1186,14.2875,97.6,10,,,,,,
,,,50,,,1478.5381,12.1724,76.6,10,,,,,,
,,,100,,,1580.6862,11.405,110.5,10,,,,,,
,,,200,,,1754.2556,10.8451,101,10,,,,,,
,,,,,,,,,,,,,,,
"Threadpool(5,20)",Response changes,,,,,,,,,,,,,,
,1000,20,1,10000,10,209.1214,49.69,83.8,16.8,,,,,,
,10000,,,,,169.5,52.71,89.8,19.6,,,,,,
,100000,,,,,198.7954,33.26,58,16.6,,,,,,
,500000,,,,,198.4271,38.47,63.4,23,,,,,,
,1000000,,,,,174.252,48.45,69.6,30.6,,,,,,
,,,,,,,,,,,,,,,
,Request changes,,,,,,,,,,,,,,
,10000,20,1,1000,10,175.8,60.3875,115.25,17.75,,,,,,
,,,,10000,,188.975,46.81,80.4,13.6,,,,,,
,,,,100000,,195.1304,55.63,106.6,16.6,,,,,,
,,,,500000,,216.7124,50.29,79.4,20,,,,,,
,,,,1000000,,165.605,55.67,88,24,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,400,1,10000,10,1593.62549800797,62.055,121,20,,,,200 clients,20 clients with 10 req for each,400 clients,20 clients with 20 req for each
,,,,,,,,,,,avg. time,25.29,17.585,44.8,13.7
,,,,,,,,,,,,,,,
,400,1,10000,10,1063.82978723404,17.295,44,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,400,1,10000,10,1680.67226890756,55.0374999999998,122,10,,,,,,,
,,,,Summary,1446.04251804986,44.7958333333333,95.6666666666667,13.3333333333333,,,,,,,
,,,,,,,,,,,,,,,
,20,20,10000,10,1101.92837465565,13.8975,40,10,,,,,,,
,,,,,,,,,,,,,,,
,20,20,10000,10,1139.60113960114,14.1525,79,10,,,,,,,
,20,20,10000,10,977.99511002445,14.6225,149,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,20,20,10000,10,1481.48148148148,12.4125,34,10,,,,,,,
,,,,Summary,1175.25152644068,13.77125,75.5,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,200,1,10000,10,1360.54421768708,22.805,39,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,200,1,10000,10,1290.32258064516,24.86,47,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,200,1,10000,10,1449.27536231884,33.46,58,16,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,200,1,10000,10,1242.23602484472,20.04,37,10,,,,,,,
,,,,Summary,1335.59454637395,25.29125,45.25,11.5,,,,,,,
,,,,,,,,,,,,,,,
,20,10,10000,10,769.230769230769,18.32,69,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,20,10,10000,10,684.931506849315,18.51,121,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,20,10,10000,10,1111.11111111111,13.045,47,10,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,20,10,10000,10,579.710144927536,20.465,150,10,,,,,,,
,,,,Summary,786.245883029683,17.585,96.75,10,,,,,,,
